City,lat,lng,neighbouring cities,,,,,,,,,,
Badin,24.6558,68.8383,Karachi,,,,,,,,,,
Thatta,24.7461,67.9243,Karachi, Hyderabad,,,,,,,,,
Karachi,24.86,67.01,Hyderabad, Thatta, Badin, Lasbela, Khuzdar,,,,
Gwadar,25.1264,62.3225, Lasbela, Turbat,,,,,,,,
Hyderabad,25.3792,68.3683,Karachi, Mirpurkhas, Sanghar, Nawabshah, Tando Allahyar, Rahim Yar Khan, Thatta,,,
Tando Allahyar,25.4667,68.7167,Hyderabad,,,,,,,,,,
Lasbela,25.4833,65.4167,Turbat, Khuzdar, Gwadar, Karachi,,,,,,,
Turbat,26.0031,63.0544,Gwadar, Khuzdar, Lasbela,,,,,,,,
Sanghar,26.0464,68.9481,Hyderabad, Nawabshah,,,,,,,,,
Nawabshah,26.2442,68.41,Hyderabad, Sanghar, Khairpur,,,,,,,,
Khairpur,27.5295,68.7592,Larkana, Nawabshah, Sukkur,,,,,,,,
Larkana,27.56,68.2264,Shikarpur, Sukkur, Jacobabad, Khairpur,,,,,,,
Sukkur,27.6995,68.8673, Larkana, Shikarpur, Kashmore, Khairpur,,,,,,
Khuzdar,27.8,66.6167,Turbat, Kalat, Lasbela, Sibi, Karachi,,,,
Shikarpur,27.9556,68.6382,Sukkur, Jacobabad, Larkana, Kashmore,,,,,,,
Jacobabad,28.2769,68.4514,Larkana, Shikarpur, Sibi,,,,,,,
Rahim Yar Khan,28.4202,70.2952,Sahiwal, Multan, Khanewal, Rajanpur, Dera Ghazi Khan, Bahawalpur, Hyderabad,,,,
Kashmore,28.4482,69.5857,Sukkur, Shikarpur, Rajanpur,,,,,,,,
Kalat,29.0258,66.59,Khuzdar, Quetta,,,,,,,,,
Dera Bugti,29.0362,69.1585,Quetta, Sibi,,,,,,,,,
Rajanpur,29.1041,70.3297,Dera Ghazi Khan, Rahim Yar khan, Kashmore,,,,,,,
Bahawalpur,29.3956,71.6722,Multan, Rahim Yar Khan, Sahiwal, Dera Ghazi Khan, Khanewal,,,,,,
Sibi,29.543,67.8773,Dera Bugti, Dera Ismail Khan, Quetta, Khuzdar, Jacobabad,,,,,,
Dera Ghazi Khan,30.05,70.6333,Rajanpur, Muzaffargarh, Sahiwal, Rajanpur, Bahawalpur, Rahim Yar Khan, Dera Ismail Khan,,
Muzaffargarh,30.0703,71.1933,Dera Ghazi Khan, Multan,,,,,,,,,
Quetta,30.192,67.007,Pashin, Zhob, Dera Bugti, Kalat, Sibi, Chaman,,,
Multan,30.1978,71.4711,Muzaffargarh, Bahawalpur, Sahiwal, Khanewal, Okara, Rahim Yar Khan,,,,,
Khanewal,30.3017,71.9321,Multan, Rahim Yar Khan, Bahawalpur, Faisalabad, Toba Tek Singh,,,,,,
Pashin,30.5833,67,Quetta, Zhob, Chaman,,,,,,,,
Sahiwal,30.6706,73.1064,Bahawalpur, Dera Ghazi Khan, Faisalabad, Multan, Okara, Rahim Yar Khan, Sargodha, Sheikhupura,,,
Okara,30.81,73.4597,Lahore, Sahiwal, Faisalabad, Multan, Sheikhupura,,,,,,
Chaman,30.921,66.4597, Pashin, Quetta,,,,,,,,
Toba Tek Singh,30.9667,72.4833,Faisalabad, Jhang, Khanewal,,,,,,,,
Jhang,31.2681,72.3181,Faisalabad, Sargodha, Toba Tek Singh,,,,,,,
Jaranwala,31.3342,73.4194,Faisalabad, Gujrat,,,,,,,,,
Zhob,31.3417,69.4486,Quetta, Pashin, Dera Ismail Khan,,,,,,
Faisalabad,31.418,73.079,Lahore, Jhang, Toba Tek Singh, Sargodha, Gujranwala, Sahiwal, Jaranwala, Okara, Khanewal, Islamabad,
Lahore,31.5497,74.3436,Faisalabad, Sheikhupura, Gujranwala, Sargodha, Hafizabad, Okara,,,,,
Sheikhupura,31.7083,74,Lahore, Gujranwala, Sahiwal, Okara,,,,,,,
Dera Ismail Khan,31.8167,70.9167,Bannu, Sibi, Zhob, Dera Ghazi Khan, Mianwali,,,,,
Hafizabad,32.0709,73.688,Gujranwala, Gujrat, Lahore,,,,,,,,
Sargodha,32.0836,72.6711,Mianwali, Khushab, Faisalabad, Jhang, Gujranwala, Sahiwal, Mandi Bahauddin, Gujrat, Jhelum, Lahore
Gujranwala,32.15,74.1833,Lahore, Sheikhupura, Hafizabad, Sialkot, Gujrat, Mandi Bahauddin, Faisalabad, Sargodha,,,
Khushab,32.2917,72.35,Attock, Jhelum, Sargodha, Mianwali,,,,,,,
Sialkot,32.5,74.5333,Gujranwala, Gujrat,,,,,,,,,
Gujrat,32.5736,74.0789,Gujranwala, Jhelum, Sargodha, Mandi Bahauddin, Hafizabad, Jaranwala, Islamabad, Rawalpindi, Sialkot,,
Mianwali,32.5853,71.5436,Attock, Jhelum, Sargodha, Khushab, Rawalpindi, Dera Ismail Khan,,,,
Mandi Bahauddin,32.5861,73.4917,Gujranwala, Gujrat, Sargodha,,,,,,,,
Chakwal,32.93,72.85,Attock, Islamabad, Rawalpindi,,,,,,,,
Jhelum,32.9333,73.7333,Rawalpindi, Gujrat, Sargodha, Mianwali, Khushab, Islamabad,,,,,
Bannu,32.9889,70.6056,Karak, Kohat, Dera Ismail Khan,,,,,,,
Karak,33.1167,71.0833,Bannu, Kohat,,,,,,,,,
Kohat,33.5869,71.4414,Karak, Bannu, Peshawar,,,,,,,,
Rawalpindi,33.6007,73.0679,Islamabad, Jhelum, Gujrat, Chakwal, Attock, Mianwali,,,,,
Islamabad,33.6989,73.0369,Rawalpindi, Abbottabad, Jhelum, Gujrat, Attock, Chakwal, Faisalabad,,,,
Attock,33.7667,72.3667,Rawalpindi, Chakwal, Mianwali, Sargodha, Khushab, Islamabad,,,,,
Peshawar,34,71.5,Charsadda, Nowshera, Kohat, Swabi, Malakand, Dir,,,,
Nowshera,34.0153,71.9747,Charsadda, Peshawar,,,,,,,,,
Swabi,34.1167,72.4667,Charsadda, Mardan, Peshawar,,,,,,,,
Charsadda,34.1453,71.7308,Peshawar, Mardan, Swabi, Nowshera,,,,,,,
Abbottabad,34.15,73.2167,Islamabad,,,,,,,,,,
Mardan,34.1958,72.0447, Swabi, Malakand, Dir, Mohmand, Charsadda,,,,
Mohmand,34.5356,71.2874,Malakand, Mardan,,,,,,,,,
Malakand,34.5656,71.9304,Dir, Swat, Mohmand, Mardan, Peshawar,,,,,,
Dir,35.1977,71.8749,Malakand, Mardan, Peshawar,,,,,,,,
Swat,35.2227,72.4258,Malakand,,,,,,,,,
